source_rel,upload_file_id,upload_page_titles,plan_page_title,parent_category,subject,material_category,filename,size_mb,summary
习思想_习概/时政--2026考研政治张修齐时政9页纸.pdf,6a0724bfabfe09661dcd8b1b,习思想_习概复习资料,习思想_习概复习资料,课程,习思想_习概,复习资料,时政--2026考研政治张修齐时政9页纸.pdf,0.29,2026考研政治张修齐时政9页纸，聚焦二十届四中全会及'十五五'规划，涵盖经济、科技、产业体系、新质生产力等核心考点，强调高质量发展、实体经济、科技创新与共同富裕，适用于考研时政复习。
习思想_习概/重点.docx,6a0724c0abfe09661dcd8b1c,习思想_习概复习资料,习思想_习概复习资料,课程,习思想_习概,复习资料,重点.docx,0.02,2025年10月20日至23日，中国共产党第二十届中央委员会第四次全体会议在北京举行。会议审议通过了《中共中央关于制定国民经济和社会发展第十五个五年规划的建议》，明确了“十五五”时期是基本实现社会主义现代化夯实基础的关键时期，提出了“六个坚持”原则、主要目标及重点任务，涵盖现代化产业体系、科技自立自强、扩大内需、改革开放、乡村振兴、绿色转型等领域。
习思想_习概/重点时政--中共中央关于制定国民经济和社会发展第十五个五年规划的建议.pdf,6a0724c1abfe09661dcd8b1d,习思想_习概复习资料,习思想_习概复习资料,课程,习思想_习概,复习资料,重点时政--中共中央关于制定国民经济和社会发展第十五个五年规划的建议.pdf,9.15,该资料为中共中央关于制定国民经济和社会发展第十五个五年规划的建议，属于重点时政文件，适用于习思想与习概学科，帮助理解国家发展规划与政策方向。
习思想_习概/重点时政--中国共产党第二十届中央委员会第四次全体会议公报.pdf,6a0724c2abfe09661dcd8b1e,习思想_习概复习资料,习思想_习概复习资料,课程,习思想_习概,复习资料,重点时政--中国共产党第二十届中央委员会第四次全体会议公报.pdf,2.82,该资料为中国共产党第二十届中央委员会第四次全体会议公报，属于重点时政文件，适用于习思想与习概学科的学习与参考。
习思想_习概/重点详解.docx,6a0724c3abfe09661dcd8b1f,习思想_习概复习资料,习思想_习概复习资料,课程,习思想_习概,复习资料,重点详解.docx,3.97,文件详细阐述了习近平新时代中国特色社会主义思想的时代背景、理论渊源、核心架构（十个明确、十四个坚持、十三个方面成就）以及世界观方法论（六个必须坚持），是习思想/习概课程的重要学习资料。
信号与系统/10  信号处理与信号产生电路.pptx,"{""id"": ""6a072588abfe09661dcd8b4a"", ""reused_existing"": false}",,信号与系统课件,课程,信号与系统,课件,10  信号处理与信号产生电路.pptx,3.64,信号处理与信号产生电路的PPT课件
信号与系统/1_状态表示(1).pdf,"{""id"": ""6a0725a1abfe09661dcd8b55"", ""reused_existing"": false}",,信号与系统课程资料,课程,信号与系统,课程资料,1_状态表示(1).pdf,16.54,信号与系统课程中关于状态表示方法的PDF资料，主要讲解状态变量、状态方程等核心概念，适用于系统分析与建模。
信号与系统/2025-2026 光电信号与系统 参考答案 byCYZ.pdf,69ef21fc804bd87c7e21c167,信号与系统往年题,信号与系统往年题,课程,信号与系统,往年题,2025-2026 光电信号与系统 参考答案 byCYZ.pdf,0.11,2025-2026学年第一学期《信号与系统》期末考试参考答案，包含填空题和选择题的详细解答。
信号与系统/2025年电信信号与系统真题（记忆版）(1).pdf,"{""id"": ""6a0724d1abfe09661dcd8b31"", ""reused_existing"": true}",,信号与系统往年题,课程,信号与系统,往年题,2025年电信信号与系统真题（记忆版）(1).pdf,0.2,2025年电信专业信号与系统真题（记忆版），包含单选题、简答题和计算题，涵盖LTI系统、傅里叶变换、Z变换、系统函数等知识点。
信号与系统/2026  S&S-zsz-Class 02.pdf,"{""id"": ""6a07258aabfe09661dcd8b4b"", ""reused_existing"": false}",,信号与系统课件,课程,信号与系统,课件,2026  S&S-zsz-Class 02.pdf,2.96,信号与系统课程讲义，介绍狄拉克δ函数的定义、性质及其在系统分析中的应用。
信号与系统/2026 S&S--zsz-Class 03.pdf,"{""id"": ""6a0725a4abfe09661dcd8b56"", ""reused_existing"": false}",,信号与系统课程资料,课程,信号与系统,课程资料,2026 S&S--zsz-Class 03.pdf,2.65,"Chapter 1 of Signals & Systems course covering fundamental signal operations: addition, multiplication, shift, scale, fold, integration, derivative."
信号与系统/2026 S&S--zsz-Class 04.pdf,"{""id"": ""6a0725a6abfe09661dcd8b57"", ""reused_existing"": false}",,信号与系统课程资料,课程,信号与系统,课程资料,2026 S&S--zsz-Class 04.pdf,2.29,信号与系统课程第二章：时域模型，涵盖连续/离散时间系统表示、卷积、微分/差分方程求解。
信号与系统/2026 S&S--zsz-Class 05.pdf,"{""id"": ""6a0725a9abfe09661dcd8b58"", ""reused_existing"": false}",,信号与系统课程资料,课程,信号与系统,课程资料,2026 S&S--zsz-Class 05.pdf,3.13,"Chapter 2 of Signals & Systems course covering time-domain models of systems, including input/output representation, convolution, and differential/difference equation models."
信号与系统/2026 S&S-zsz-Class 01.pdf,"{""id"": ""6a07258dabfe09661dcd8b4c"", ""reused_existing"": false}",,信号与系统课件,课程,信号与系统,课件,2026 S&S-zsz-Class 01.pdf,3.9,2026年信号与系统课程第一章基本概念讲义，作者Shaozhe Zhang，华中科技大学。
信号与系统/2026 S&S-zsz-Class 06-1.pdf,"{""id"": ""6a07258fabfe09661dcd8b4d"", ""reused_existing"": false}",,信号与系统课件,课程,信号与系统,课件,2026 S&S-zsz-Class 06-1.pdf,3.16,信号与系统课程讲义，讲解傅里叶级数与傅里叶变换，包括频域分析的意义和滤波器应用。
信号与系统/2026 S&S-zsz-Class 07.pdf,"{""id"": ""6a0725ababfe09661dcd8b59"", ""reused_existing"": false}",,信号与系统课程资料,课程,信号与系统,课程资料,2026 S&S-zsz-Class 07.pdf,2.49,"Chapter 3 of Signals & Systems course covering Fourier series and Fourier transform, including signal decomposition, trigonometric and complex exponential forms, properties, and spectral content."
信号与系统/6  频率响应.pptx,"{""id"": ""6a072597abfe09661dcd8b4e"", ""reused_existing"": false}",,信号与系统课件,课程,信号与系统,课件,6  频率响应.pptx,2.36,关于频率响应的PPT课件，适用于信号与系统课程。
信号与系统/Ch8-Communication-zm.pdf,"{""id"": ""6a0725acabfe09661dcd8b5a"", ""reused_existing"": false}",,信号与系统课程资料,课程,信号与系统,课程资料,Ch8-Communication-zm.pdf,6.52,本章介绍通信系统的基本概念，包括调制与解调的定义、载波的作用，以及通信发展简史中仙农的信息论和贝尔的发明。
信号与系统/Ch9 Laplace transform.pdf,"{""id"": ""6a0725adabfe09661dcd8b5b"", ""reused_existing"": false}",,信号与系统课程资料,课程,信号与系统,课程资料,Ch9 Laplace transform.pdf,5.86,本章介绍拉普拉斯变换，包括定义、收敛域、逆变换、傅里叶变换的几何评估、性质、常见变换对、LTI系统分析与表征、系统函数代数与框图表示，以及单边拉普拉斯变换。
信号与系统/Fundamentals of signals and systems using the Web and MATLAB-Pearson (2014).pdf,"{""id"": ""6a0725aeabfe09661dcd8b5c"", ""reused_existing"": false}",,信号与系统课程资料,课程,信号与系统,课程资料,Fundamentals of signals and systems using the Web and MATLAB-Pearson (2014).pdf,4.65,"Textbook covering fundamental concepts, time-domain models, Fourier series and transform, Fourier analysis of discrete-time signals and systems, with MATLAB applications."
信号与系统/ch0-introduction-zm.pdf,"{""id"": ""6a0725aeabfe09661dcd8b5d"", ""reused_existing"": false}",,信号与系统课程资料,课程,信号与系统,课程资料,ch0-introduction-zm.pdf,2.26,该文本为《信号与系统》课程第0章引言，由赵茗主讲，介绍课程基本信息和核心概念对工程类专业的重要性，引用MIT教授Oppenheim的观点，并提及课程在控制系统、集成电路、信息处理、无线通信等领域的应用基础。
信号与系统/ch1-Signals and Systems-zm.pdf,"{""id"": ""6a072598abfe09661dcd8b4f"", ""reused_existing"": false}",,信号与系统课件,课程,信号与系统,课件,ch1-Signals and Systems-zm.pdf,3.35,本章介绍信号与系统的基本概念，包括连续时间与离散时间信号的数学表示、自变量变换、指数与正弦信号、单位冲激与阶跃函数，以及系统的基本性质。内容涵盖信号举例、系统分类和基本属性，为后续学习奠定基础。
信号与系统/ch2-Linear Time-Invariant Systems-zm.pdf,"{""id"": ""6a0725afabfe09661dcd8b5e"", ""reused_existing"": false}",,信号与系统课程资料,课程,信号与系统,课程资料,ch2-Linear Time-Invariant Systems-zm.pdf,2.38,本章介绍线性时不变系统的基本概念，包括系统的物理定义、输入输出关系以及用于系统分析的多种模型，如原理图、框图与数学模型。
信号与系统/ch3-FS-zm.pdf,"{""id"": ""6a072599abfe09661dcd8b50"", ""reused_existing"": false}",,信号与系统课件,课程,信号与系统,课件,ch3-FS-zm.pdf,9.94,该资料为《信号与系统》第三章傅里叶级数表示周期信号的课程讲义，涵盖历史视角、LTI系统对复指数信号的响应、连续与离散时间周期信号的傅里叶级数表示、收敛性、性质及滤波应用。
信号与系统/ch4-CTFT-zm.pdf,"{""id"": ""6a0725b0abfe09661dcd8b5f"", ""reused_existing"": false}",,信号与系统课程资料,课程,信号与系统,课程资料,ch4-CTFT-zm.pdf,4.08,本章介绍连续时间傅里叶变换（CTFT），包括非周期信号的傅里叶变换表示、周期信号的傅里叶变换、CTFT的性质（如卷积与乘法性质），以及线性常系数微分方程描述的系统。通过将周期信号的傅里叶级数推广到非周期信号，引出傅里叶变换的定义及其应用。
信号与系统/ch5-DTFT-zm.pdf,"{""id"": ""6a07259aabfe09661dcd8b51"", ""reused_existing"": false}",,信号与系统课件,课程,信号与系统,课件,ch5-DTFT-zm.pdf,3.68,本章介绍离散时间傅里叶变换（DTFT），包括非周期信号的表示、周期信号的DTFT、DTFT性质（卷积、乘法、对偶性）以及线性常系数差分方程描述的系统。回顾了离散时间周期信号的傅里叶级数（DFS）表示。
信号与系统/ch7-CT Sampling-zm.pdf,"{""id"": ""6a0725b1abfe09661dcd8b60"", ""reused_existing"": false}",,信号与系统课程资料,课程,信号与系统,课程资料,ch7-CT Sampling-zm.pdf,8.64,本章介绍采样定理，阐述连续时间信号可用离散样本表示的条件，以及如何通过内插恢复原信号。讨论欠采样导致的混叠效应，并涉及离散时间处理连续时间信号及离散时间信号的采样、抽取与内插。运用傅立叶变换分析采样问题。
信号与系统/week1~2 Homework.docx,"{""id"": ""6a0725b1abfe09661dcd8b61"", ""reused_existing"": false}",,信号与系统课程资料,课程,信号与系统,课程资料,week1~2 Homework.docx,0.12,Week 1-2 homework on continuous-time and discrete-time system classification.
信号与系统/信号与系统.pptx,"{""id"": ""6a07259babfe09661dcd8b52"", ""reused_existing"": false}",,信号与系统课件,课程,信号与系统,课件,信号与系统.pptx,14.99,信号与系统课程的PPT演示文稿
信号与系统/信号与系统_14807028.pdf,"{""id"": ""6a0725b4abfe09661dcd8b62"", ""reused_existing"": false}",,信号与系统课程资料,课程,信号与系统,课程资料,信号与系统_14807028.pdf,37.41,信号与系统课程相关PDF文件
信号与系统/信号与系统__auto1.pptx,"{""id"": ""6a07259fabfe09661dcd8b53"", ""reused_existing"": false}",,信号与系统课件,课程,信号与系统,课件,信号与系统__auto1.pptx,74.58,信号与系统课程的PPT文件。
信号与系统/信号与系统参考试题1(2).pdf,"{""id"": ""6a07256fabfe09661dcd8b43"", ""reused_existing"": false}",,信号与系统往年题,课程,信号与系统,往年题,信号与系统参考试题1(2).pdf,0.31,华中科技大学信号与系统闭卷考试试题，包含选择题，涉及绝对可积、时不变系统、卷积、频率成分、奈奎斯特率、z变换等知识点，共100分。
信号与系统/光电&集成信号与系统2024秋答案自制版.pdf,"{""id"": ""69ef21f2804bd87c7e21c166"", ""reused_existing"": true}",,信号与系统往年题,课程,信号与系统,往年题,光电&集成信号与系统2024秋答案自制版.pdf,0.11,2024年秋信号与系统B卷自制解答，涵盖填空题与选择题。填空题涉及拉普拉斯变换求系统函数和单位冲激响应、采样频率计算、帕塞瓦尔定理应用、拉普拉斯变换性质及卷积计算。选择题考察系统稳定性判断、相位保真条件及系统互联后的频率响应。
信号与系统/光电&集成信号与系统2024秋试题回忆版.pdf,"{""id"": ""69ef21c1804bd87c7e21c165"", ""reused_existing"": true}",,信号与系统往年题,课程,信号与系统,往年题,光电&集成信号与系统2024秋试题回忆版.pdf,0.1,2024年秋季学期光学与电子信息学院和集成电路学院《信号与系统》B卷试题回忆版，包含填空题和选择题，涉及线性时不变系统的单位冲激响应、采样频率、能量计算、拉普拉斯变换、系统稳定性与因果性等知识点。
信号与系统/华科2011年《信号与系统》期末试题与答案.pdf,"{""id"": ""6a072571abfe09661dcd8b44"", ""reused_existing"": false}",,信号与系统往年题,课程,信号与系统,往年题,华科2011年《信号与系统》期末试题与答案.pdf,10.35,华中科技大学2011年《信号与系统》期末试题与答案，包含试题和参考答案，适用于复习和自测。
信号与系统/华科2012年《信号与系统》期末试题与答案.pdf,"{""id"": ""6a072572abfe09661dcd8b45"", ""reused_existing"": false}",,信号与系统往年题,课程,信号与系统,往年题,华科2012年《信号与系统》期末试题与答案.pdf,10.99,华中科技大学2012年《信号与系统》期末试题与答案，包含试题及参考答案，适用于复习备考。
信号与系统/华科2013年《信号与系统》期末试题与答案.pdf,"{""id"": ""6a072577abfe09661dcd8b46"", ""reused_existing"": false}",,信号与系统往年题,课程,信号与系统,往年题,华科2013年《信号与系统》期末试题与答案.pdf,11.83,华中科技大学2013年《信号与系统》期末试题与答案，包含试题及参考答案，适用于复习备考。
信号与系统/华科《信号与系统》期末试题.pdf,"{""id"": ""6a072579abfe09661dcd8b47"", ""reused_existing"": false}",,信号与系统往年题,课程,信号与系统,往年题,华科《信号与系统》期末试题.pdf,25.06,华中科技大学《信号与系统》课程期末试题，涵盖信号与系统核心知识点，适合复习备考。
信号与系统/吴大正/信号与系统教案第1章.pdf,"{""id"": ""6a072563abfe09661dcd8b32"", ""reused_existing"": false}",,信号与系统吴大正,课程,信号与系统,吴大正,信号与系统教案第1章.pdf,1.61,该文档为西安电子科技大学《信号与系统》课程第一章电子教案，涵盖信号与系统的基本概念、信号的描述与分类、信号的基本运算、阶跃函数和冲激函数、系统的性质及分类、系统的描述以及LTI系统分析方法概述。
信号与系统/吴大正/信号与系统教案第1章.ppt,"{""id"": ""6a072564abfe09661dcd8b33"", ""reused_existing"": false}",,信号与系统吴大正,课程,信号与系统,吴大正,信号与系统教案第1章.ppt,1.29,信号与系统课程第1章教学PPT，包含基本概念与课程介绍。
信号与系统/吴大正/信号与系统教案第2章.pdf,"{""id"": ""6a072565abfe09661dcd8b34"", ""reused_existing"": false}",,信号与系统吴大正,课程,信号与系统,吴大正,信号与系统教案第2章.pdf,2.22,本章为《信号与系统》第二章，主要介绍连续系统的时域分析方法。内容包括LTI连续系统的响应（微分方程的经典解、0-和0+初始值、零输入响应和零状态响应）、冲激响应和阶跃响应、卷积积分及其性质。通过实例演示了如何求解微分方程的全解，包括齐次解和特解的确定。
信号与系统/吴大正/信号与系统教案第2章.ppt,"{""id"": ""6a072565abfe09661dcd8b35"", ""reused_existing"": false}",,信号与系统吴大正,课程,信号与系统,吴大正,信号与系统教案第2章.ppt,0.67,信号与系统课程第2章的教学PPT，涵盖章节核心概念与内容框架。
信号与系统/吴大正/信号与系统教案第3章.pdf,"{""id"": ""6a072566abfe09661dcd8b36"", ""reused_existing"": false}",,信号与系统吴大正,课程,信号与系统,吴大正,信号与系统教案第3章.pdf,1.78,西安电子科技大学信号与系统课程第三章离散系统的时域分析教案，涵盖LTI离散系统的响应、差分与差分方程、经典解、零输入响应和零状态响应、单位序列响应和阶跃响应、卷积和等内容。
信号与系统/吴大正/信号与系统教案第3章.ppt,"{""id"": ""6a072567abfe09661dcd8b37"", ""reused_existing"": false}",,信号与系统吴大正,课程,信号与系统,吴大正,信号与系统教案第3章.ppt,0.42,信号与系统课程第3章教学PPT，包含教案内容。
信号与系统/吴大正/信号与系统教案第4章.pdf,"{""id"": ""6a072568abfe09661dcd8b38"", ""reused_existing"": false}",,信号与系统吴大正,课程,信号与系统,吴大正,信号与系统教案第4章.pdf,5.1,西安电子科技大学《信号与系统》第四章电子教案，内容涵盖连续系统的频域分析，包括信号正交分解、傅里叶级数、周期与非周期信号的频谱、傅里叶变换及其性质、LTI系统频域分析及取样定理。
信号与系统/吴大正/信号与系统教案第4章.ppt,"{""id"": ""6a072568abfe09661dcd8b39"", ""reused_existing"": false}",,信号与系统吴大正,课程,信号与系统,吴大正,信号与系统教案第4章.ppt,1.49,信号与系统课程第4章的教学PPT课件。
